algorithm_name,env_n,size,best_solution,H,states,time
SA,26,10,"[0, 8, 6, 2, 7, 1, 4, 9, 5, 3]",0,935,0.015629
SA,27,10,"[1, 5, 9, 2, 6, 8, 3, 0, 4, 7]",0,694,0.009904
SA,28,10,"[8, 3, 0, 4, 7, 9, 6, 2, 5, 1]",0,703,0.009410
SA,29,10,"[7, 1, 4, 6, 9, 0, 5, 8, 0, 3]",1,1840,0.026422
SA,30,10,"[6, 8, 1, 4, 0, 3, 9, 7, 5, 2]",0,1135,0.015211
GA,1,4,"[2, 0, 3, 1]",0,28,0.000186
GA,2,4,"[1, 3, 0, 2]",0,28,0.000155
GA,3,4,"[2, 0, 3, 1]",0,28,0.000185
GA,4,4,"[2, 0, 3, 1]",0,28,0.000173
GA,5,4,"[1, 3, 0, 2]",0,28,0.000148
GA,6,4,"[1, 3, 0, 2]",0,54,0.000537
GA,7,4,"[1, 3, 0, 2]",0,28,0.000152
GA,8,4,"[2, 0, 3, 1]",0,28,0.000145
GA,9,4,"[1, 3, 0, 2]",0,28,0.000147
GA,10,4,"[1, 3, 0, 2]",0,28,0.000145
GA,11,4,"[1, 3, 0, 2]",0,28,0.000159
GA,12,4,"[2, 0, 3, 1]",0,28,0.000148
GA,13,4,"[1, 3, 0, 2]",0,28,0.000146
GA,14,4,"[1, 3, 0, 2]",0,28,0.000145
GA,15,4,"[1, 3, 0, 2]",0,28,0.000145
GA,16,4,"[1, 3, 0, 2]",0,28,0.000144
GA,17,4,"[2, 0, 3, 1]",0,28,0.000158
GA,18,4,"[1, 3, 0, 2]",0,28,0.000147
GA,19,4,"[2, 0, 3, 1]",0,28,0.000144
GA,20,4,"[2, 0, 3, 1]",0,28,0.000145
GA,21,4,"[1, 3, 0, 2]",0,28,0.000147
GA,22,4,"[1, 3, 0, 2]",0,28,0.000156
GA,23,4,"[1, 3, 0, 2]",0,28,0.000146
GA,24,4,"[1, 3, 0, 2]",0,28,0.000146
GA,25,4,"[1, 3, 0, 2]",0,28,0.000145
GA,26,4,"[2, 0, 3, 1]",0,28,0.000146
GA,27,4,"[1, 3, 0, 2]",0,28,0.000146
GA,28,4,"[2, 0, 3, 1]",0,80,0.000808
GA,29,4,"[2, 0, 3, 1]",0,28,0.000154
GA,30,4,"[2, 0, 3, 1]",0,28,0.000160
GA,1,8,"[1, 6, 4, 7, 0, 3, 5, 2]",0,264,0.004608
GA,2,8,"[4, 2, 0, 5, 7, 1, 3, 6]",0,108,0.001853
GA,3,8,"[5, 3, 0, 4, 7, 1, 6, 2]",0,264,0.005066
GA,4,8,"[2, 5, 1, 6, 0, 3, 7, 4]",0,368,0.006512
GA,5,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,316,0.006330
GA,6,8,"[4, 0, 7, 3, 1, 6, 2, 5]",0,472,0.008488
GA,7,8,"[4, 2, 0, 5, 7, 1, 3, 6]",0,264,0.004590
GA,8,8,"[0, 4, 7, 5, 2, 6, 1, 3]",0,264,0.005300
